,big_param_persist,small_param_persist,persistComps,big_pvals_persist,small_pvals_persist,big_param_pivot,small_param_pivot,pivotComps,big_pvals_pivot,small_pvals_pivot
TC_TF,-0.6976174657560882,-0.698942298148401,0.18990814555896673,0.13066379812731466,0.12975195884042648,-0.5661545189531644,-0.5736541547426969,1.3246623560295052,0.16913376936858404,0.1633048533143927
TC_DG,-0.7460444840586757,-0.745510178433839,-0.07161846729700805,0.12601050073730136,0.12586448486770555,-0.16271946193563677,-0.15999830333841214,-1.6723006362330395,0.6937719757367116,0.6987146778829929
TC_TS,-0.9254308347184838,-0.9180565987461905,-0.7968435560650512,0.10499975151862831,0.10622304460739664,-0.07744235431416069,-0.054520139822782566,-29.599067195696932,0.8578289070640945,0.8992948993858846
TC_BE,0.046671052608996684,0.05045273189402074,8.102836927005733,0.9357504082194805,0.93053771730402,-0.34400917965347466,-0.3350353591034086,-2.608599153983486,0.534727984968703,0.5449144111529765
TC_RE,0.026349149709810466,0.029960100951749394,13.7042420029003,0.9566028757460494,0.9506312736357571,-0.06438070921611033,-0.05394958168638451,-16.202256322947722,0.8848672002900353,0.9032828330738818
TC_ME,-0.550849119248732,-0.5542181298598489,0.6116031583587912,0.3868313182028672,0.38363633746995496,-0.7842086531390162,-0.7930847528734208,1.1318543475483887,0.1875539263588466,0.18223641567652105
TC_EE,-0.31730310350119717,-0.3127706051750911,-1.4284443726183036,0.5742153174344017,0.5790793453637326,-0.22696720275638507,-0.21139869334490338,-6.8593652397400025,0.6501306073471199,0.6723144674126706
TC_GR,0.6141575619108048,0.6223910580353392,1.3406162579709724,0.30092847499094943,0.2921181310163976,-0.8632291649376701,-0.8275007543122117,-4.1389253371714085,0.200736237786186,0.2181298850581046
TC_OT,1.395823537962942,1.3934911642655208,-0.16709660168255117,0.1055847370517887,0.10590162788794674,0.11784113757435652,0.1224465197817866,3.9081277576127693,0.8992334516492809,0.8951439126925946
ForProf,-0.15980854159988087,-0.15227200614166211,-4.7159778712506375,0.5489517783923867,0.5647643501579582,-1.0430837640340411,-1.021732210518361,-2.046964419530862,1.3204851902397796e-05,1.595133747608927e-05
awardAmount,0.1837971620909787,0.185947370201024,1.1698810175213425,0.02965446003530715,0.02647782464562228,0.11250689460552249,0.11907077918865351,5.834206522316391,0.14056472532962921,0.11545995606182781
dum09,-1.1324180560507957,-1.1321155214716585,-0.026715803189527484,0.3657911776086077,0.3648235041059017,0.18368423790791177,0.2185615950598998,18.98767011760336,0.8587710664560109,0.8314524931603827
dum10,-0.6313799705087617,-0.6240369081564096,-1.1630179440813064,0.208890282936814,0.20800389904330918,0.6978799925387501,0.7495740801014569,7.407303277839196,0.11581574854851934,0.08633415797889636
dum11,-55.80229204193539,-43.36615854899095,-22.28606216317905,0.9999999999194368,0.9999999687290843,0.6405097182586614,0.7058101368739952,10.195070699764626,0.2968363996612394,0.24391636233444935
dum12,-0.052588523880621976,-0.04385734693980194,-16.602818060914107,0.9169995591081676,0.9298806841646352,0.9496101077461583,0.999289245731584,5.231530033240281,0.04124637658170899,0.029540822409732062
dum13,-0.31888873767236525,-0.3097654144842271,-2.860973785004498,0.4958497579713086,0.49836726244715446,0.7092933192664513,0.7624456137122197,7.493697318443424,0.09060346732290815,0.06387278411482306
dum14,-0.6963558558307746,-0.682648038353639,-1.9685075328018624,0.20022443690021374,0.19943195831905192,0.4183547094414704,0.48738605367177096,16.50067339326996,0.3681407751102008,0.2820637155933584
dum15,0.27736482767100457,0.2811071250341454,1.349232847785506,0.6176795474445558,0.6126238524320311,1.0811515270248486,1.0980842917684264,1.566178682665688,0.041973348035945886,0.038681434140921185
dum16,0.6064513025780114,0.6036438160627189,-0.4629368431328182,0.3346491162263846,0.33646302402211015,1.6670150172350826,1.6783167907528465,0.6779647094306931,0.0037385901857030154,0.003498017441428076
